palavra,divisao_list,divisao,categoria,fonetica_list,fonetica,tonica_num,tonica,antepenultima,penultima,ultima
recoleção,"['re', 'co', 'le', 'ção']",re·co·le·ção,nome feminino,"['ɦe', 'ko', 'le', 'sˈɐ̃w']",ɦe.ko.le.sˈɐ̃w,1,ultima,ko,le,sˈɐ̃w
recolecta,"['re', 'co', 'lec', 'ta']",re·co·lec·ta,nome feminino,"['ɦe', 'ko', 'lˈɛ', 'kə', 'tɐ']",ɦe.ko.lˈɛ.kə.tɐ,2,penultima,lˈɛ,kə,tɐ
recoleta,"['re', 'co', 'le', 'ta']",re·co·le·ta,nome feminino,"['ɦe', 'ko', 'lˈe', 'tɐ']",ɦe.ko.lˈe.tɐ,2,penultima,ko,lˈe,tɐ
recolha,"['re', 'co', 'lha']",re·co·lha,nome feminino,"['ɦe', 'kˈo', 'ʎɐ']",ɦe.kˈo.ʎɐ,2,penultima,ɦe,kˈo,ʎɐ
recolhedor,"['re', 'co', 'lhe', 'dor']",re·co·lhe·dor,adjetivo,"['ɦe', 'ko', 'ʎe', 'dˈoɾ']",ɦe.ko.ʎe.dˈoɾ,1,ultima,ko,ʎe,dˈoɾ
recolhedor,"['re', 'co', 'lhe', 'dor']",re·co·lhe·dor,nome masculino,"['ɦe', 'ko', 'ʎe', 'dˈoɾ']",ɦe.ko.ʎe.dˈoɾ,1,ultima,ko,ʎe,dˈoɾ
recolheita,"['re', 'co', 'lhei', 'ta']",re·co·lhei·ta,nome feminino,"['ɦe', 'ko', 'ʎˈej', 'tɐ']",ɦe.ko.ʎˈej.tɐ,2,penultima,ko,ʎˈej,tɐ
recolher,"['re', 'co', 'lher']",re·co·lher,verbo,"['ɦe', 'ko', 'ʎˈe']",ɦe.ko.ʎˈe,1,ultima,ɦe,ko,ʎˈe
recolhida,"['re', 'co', 'lhi', 'da']",re·co·lhi·da,nome feminino,"['ɦe', 'ko', 'ʎˈi', 'dɐ']",ɦe.ko.ʎˈi.dɐ,2,penultima,ko,ʎˈi,dɐ
recolhidamente,"['re', 'co', 'lhi', 'da', 'men', 'te']",re·co·lhi·da·men·te,advérbio,"['ɦe', 'ko', 'ʎi', 'dã', 'mˈẽ', 'tʃɪ']",ɦe.ko.ʎi.dã.mˈẽ.tʃɪ,2,penultima,dã,mˈẽ,tʃɪ
recolhido,"['re', 'co', 'lhi', 'do']",re·co·lhi·do,adjetivo,"['ɦe', 'ko', 'ʎˈi', 'dʊ']",ɦe.ko.ʎˈi.dʊ,2,penultima,ko,ʎˈi,dʊ
recolhido,"['re', 'co', 'lhi', 'do']",re·co·lhi·do,nome masculino,"['ɦe', 'ko', 'ʎˈi', 'dʊ']",ɦe.ko.ʎˈi.dʊ,2,penultima,ko,ʎˈi,dʊ
recolhimento,"['re', 'co', 'lhi', 'men', 'to']",re·co·lhi·men·to,nome masculino,"['ɦe', 'ko', 'ʎĩ', 'mˈẽ', 'tʊ']",ɦe.ko.ʎĩ.mˈẽ.tʊ,2,penultima,ʎĩ,mˈẽ,tʊ
recolho,"['re', 'co', 'lho']",re·co·lho,nome masculino,"['ɦe', 'kˈo', 'ʎʊ']",ɦe.kˈo.ʎʊ,2,penultima,ɦe,kˈo,ʎʊ
recolocação,"['re', 'co', 'lo', 'ca', 'ção']",re·co·lo·ca·ção,nome feminino,"['ɦe', 'ko', 'lo', 'ka', 'sˈɐ̃w']",ɦe.ko.lo.ka.sˈɐ̃w,1,ultima,lo,ka,sˈɐ̃w
