palavra,divisao_list,divisao,categoria,fonetica_list,fonetica,tonica_num,tonica,antepenultima,penultima,ultima
labrego,"['la', 'bre', 'go']",la·bre·go,adjetivo,"['la', 'bɾˈe', 'gʊ']",la.bɾˈe.gʊ,2,penultima,la,bɾˈe,gʊ
labro,"['la', 'bro']",la·bro,nome masculino,"['lˈa', 'bɾʊ']",lˈa.bɾʊ,2,penultima,,lˈa,bɾʊ
labuta,"['la', 'bu', 'ta']",la·bu·ta,nome feminino,"['la', 'bˈu', 'tɐ']",la.bˈu.tɐ,2,penultima,la,bˈu,tɐ
labutar,"['la', 'bu', 'tar']",la·bu·tar,nome masculino,"['la', 'bu', 'tˈa']",la.bu.tˈa,1,ultima,la,bu,tˈa
labutar,"['la', 'bu', 'tar']",la·bu·tar,verbo,"['la', 'bu', 'tˈa']",la.bu.tˈa,1,ultima,la,bu,tˈa
laca,"['la', 'ca']",la·ca,nome feminino,"['lˈa', 'kɐ']",lˈa.kɐ,2,penultima,,lˈa,kɐ
laça,"['la', 'ça']",la·ça,nome feminino,"['lˈa', 'sɐ']",lˈa.sɐ,2,penultima,,lˈa,sɐ
laçada,"['la', 'ça', 'da']",la·ça·da,nome feminino,"['la', 'sˈa', 'dɐ']",la.sˈa.dɐ,2,penultima,la,sˈa,dɐ
lacada,"['la', 'ca', 'da']",la·ca·da,nome feminino,"['la', 'kˈa', 'dɐ']",la.kˈa.dɐ,2,penultima,la,kˈa,dɐ
lacado,"['la', 'ca', 'do']",la·ca·do,adjetivo,"['la', 'kˈa', 'dʊ']",la.kˈa.dʊ,2,penultima,la,kˈa,dʊ
lacaio,"['la', 'cai', 'o']",la·cai·o,nome masculino,"['la', 'kˈaj', 'ʊ']",la.kˈaj.ʊ,2,penultima,la,kˈaj,ʊ
lacaniano,"['la', 'ca', 'ni', 'a', 'no']",la·ca·ni·a·no,nome masculino,"['la', 'kã', 'ni', 'ˈɐ̃', 'nʊ']",la.kã.ni.ˈɐ̃.nʊ,2,penultima,ni,ˈɐ̃,nʊ
lacaniano,"['la', 'ca', 'ni', 'a', 'no']",la·ca·ni·a·no,adjetivo,"['la', 'kã', 'ni', 'ˈɐ̃', 'nʊ']",la.kã.ni.ˈɐ̃.nʊ,2,penultima,ni,ˈɐ̃,nʊ
lacão,"['la', 'cão']",la·cão,adjetivo,"['la', 'kˈɐ̃w']",la.kˈɐ̃w,1,ultima,,la,kˈɐ̃w
lacão,"['la', 'cão']",la·cão,nome masculino,"['la', 'kˈɐ̃w']",la.kˈɐ̃w,1,ultima,,la,kˈɐ̃w
laçar,"['la', 'çar']",la·çar,verbo,"['la', 'sˈa']",la.sˈa,1,ultima,,la,sˈa
lacar,"['la', 'car']",la·car,verbo,"['la', 'kˈa']",la.kˈa,1,ultima,,la,kˈa
laçaria,"['la', 'ça', 'ri', 'a']",la·ça·ri·a,nome feminino,"['la', 'sa', 'ɾˈi', 'ɐ']",la.sa.ɾˈi.ɐ,2,penultima,sa,ɾˈi,ɐ
laçarote,"['la', 'ça', 'ro', 'te']",la·ça·ro·te,nome masculino,"['la', 'sa', 'ɾˈɔ', 'tʃɪ']",la.sa.ɾˈɔ.tʃɪ,2,penultima,sa,ɾˈɔ,tʃɪ
laceração,"['la', 'ce', 'ra', 'ção']",la·ce·ra·ção,nome feminino,"['la', 'se', 'ɾa', 'sˈɐ̃w']",la.se.ɾa.sˈɐ̃w,1,ultima,se,ɾa,sˈɐ̃w
lacerar,"['la', 'ce', 'rar']",la·ce·rar,verbo,"['la', 'se', 'ɾˈa']",la.se.ɾˈa,1,ultima,la,se,ɾˈa
lácio,"['lá', 'ci', 'o']",lá·ci·o,nome masculino,"['lˈa', 'sjʊ']",lˈa.sjʊ,3,antepenultima,,lˈa,sjʊ
lácio,"['lá', 'ci', 'o']",lá·ci·o,adjetivo,"['lˈa', 'sjʊ']",lˈa.sjʊ,3,antepenultima,,lˈa,sjʊ
laço,"['la', 'ço']",la·ço,nome masculino,"['lˈa', 'sʊ']",lˈa.sʊ,2,penultima,,lˈa,sʊ
lacobrigense,"['la', 'co', 'bri', 'gen', 'se']",la·co·bri·gen·se,nome feminino,"['la', 'ko', 'bɾi', 'ʒˈẽ', 'sɪ ou la', 'ko', 'bɾi', 'ʒˈẽ', 'sɪ']",la.ko.bɾi.ʒˈẽ.sɪ ou la.ko.bɾi.ʒˈẽ.sɪ,2,penultima,bɾi,ʒˈẽ,sɪ
