palavra,divisao_list,divisao,categoria,fonetica_list,fonetica,tonica_num,tonica,antepenultima,penultima,ultima
jagunço,"['ja', 'gun', 'ço']",ja·gun·ço,nome masculino,"['ʒa', 'gˈũ', 'sʊ']",ʒa.gˈũ.sʊ,2,penultima,ʒa,gˈũ,sʊ
jainismo,"['jai', 'nis', 'mo']",jai·nis·mo,nome masculino,"['ʒãj', 'nˈiʒ', 'mʊ']",ʒãj.nˈiʒ.mʊ,2,penultima,ʒãj,nˈiʒ,mʊ
jainista,"['jai', 'nis', 'ta']",jai·nis·ta,adjetivo,"['ʒãj', 'nˈiʃ', 'tɐ']",ʒãj.nˈiʃ.tɐ,2,penultima,ʒãj,nˈiʃ,tɐ
jainista,"['jai', 'nis', 'ta']",jai·nis·ta,nome masculino,"['ʒãj', 'nˈiʃ', 'tɐ']",ʒãj.nˈiʃ.tɐ,2,penultima,ʒãj,nˈiʃ,tɐ
jainista,"['jai', 'nis', 'ta']",jai·nis·ta,nome feminino,"['ʒãj', 'nˈiʃ', 'tɐ']",ʒãj.nˈiʃ.tɐ,2,penultima,ʒãj,nˈiʃ,tɐ
jalde,"['jal', 'de']",jal·de,adjetivo,"['ʒˈaw', 'dʒɪ']",ʒˈaw.dʒɪ,2,penultima,,ʒˈaw,dʒɪ
jaleca,"['ja', 'le', 'ca']",ja·le·ca,nome feminino,"['ʒa', 'lˈɛ', 'kɐ']",ʒa.lˈɛ.kɐ,2,penultima,ʒa,lˈɛ,kɐ
jaleco,"['ja', 'le', 'co']",ja·le·co,nome masculino,"['ʒa', 'lˈɛ', 'kʊ']",ʒa.lˈɛ.kʊ,2,penultima,ʒa,lˈɛ,kʊ
jam-session,"['jam', 'ses', 'sion']",jam-ses·sion,nome feminino,[''],,2,penultima,,,
jamaicana,"['ja', 'mai', 'ca', 'na']",ja·mai·ca·na,nome feminino,"['ʒã', 'maj', 'kˈɐ̃', 'nɐ']",ʒã.maj.kˈɐ̃.nɐ,2,penultima,maj,kˈɐ̃,nɐ
jamaicano,"['ja', 'mai', 'ca', 'no']",ja·mai·ca·no,adjetivo,"['ʒã', 'maj', 'kˈɐ̃', 'nʊ']",ʒã.maj.kˈɐ̃.nʊ,2,penultima,maj,kˈɐ̃,nʊ
jamaicano,"['ja', 'mai', 'ca', 'no']",ja·mai·ca·no,nome masculino,"['ʒã', 'maj', 'kˈɐ̃', 'nʊ']",ʒã.maj.kˈɐ̃.nʊ,2,penultima,maj,kˈɐ̃,nʊ
jamais,"['ja', 'mais']",ja·mais,advérbio,"['ʒã', 'mˈajʃ']",ʒã.mˈajʃ,1,ultima,,ʒã,mˈajʃ
jamba,"['jam', 'ba']",jam·ba,nome masculino,"['ʒˈɐ̃', 'bɐ']",ʒˈɐ̃.bɐ,2,penultima,,ʒˈɐ̃,bɐ
jamba,"['jam', 'ba']",jam·ba,nome feminino,"['ʒˈɐ̃', 'bɐ']",ʒˈɐ̃.bɐ,2,penultima,,ʒˈɐ̃,bɐ
jambi,"['jam', 'bi']",jam·bi,nome masculino,"['ʒɐ̃', 'bˈi']",ʒɐ̃.bˈi,1,ultima,,ʒɐ̃,bˈi
jambo,"['jam', 'bo']",jam·bo,nome masculino,"['ʒˈɐ̃', 'bʊ']",ʒˈɐ̃.bʊ,2,penultima,,ʒˈɐ̃,bʊ
jamboree,"['jam', 'bo', 'ree']",jam·bo·ree,nome masculino,[''],,1,ultima,,,
janar,"['ja', 'nar']",ja·nar,verbo,"['ʒã', 'nˈa']",ʒã.nˈa,1,ultima,,ʒã,nˈa
