palavra,divisao_list,divisao,categoria,fonetica_list,fonetica,tonica_num,tonica,antepenultima,penultima,ultima
zero,"['ze', 'ro']",ze·ro,número,"['zˈɛ', 'ɾʊ']",zˈɛ.ɾʊ,2,penultima,,zˈɛ,ɾʊ
zeta,"['ze', 'ta']",ze·ta,nome masculino,"['zˈɛ', 'tɐ']",zˈɛ.tɐ,2,penultima,,zˈɛ,tɐ
zeugma,"['zeug', 'ma']",zeug·ma,nome masculino,"['zˈew', 'gə̃', 'mɐ']",zˈew.gə̃.mɐ,2,penultima,zˈew,gə̃,mɐ
zibelina,"['zi', 'be', 'li', 'na']",zi·be·li·na,nome feminino,"['zi', 'be', 'lˈĩ', 'nɐ']",zi.be.lˈĩ.nɐ,2,penultima,be,lˈĩ,nɐ
zigoto,"['zi', 'go', 'to']",zi·go·to,nome masculino,"['zi', 'gˈo', 'tʊ']",zi.gˈo.tʊ,2,penultima,zi,gˈo,tʊ
ziguezague,"['zi', 'gue', 'za', 'gue']",zi·gue·za·gue,nome masculino,"['zi', 'ge', 'zˈa', 'gɪ']",zi.ge.zˈa.gɪ,2,penultima,ge,zˈa,gɪ
ziguezagueante,"['zi', 'gue', 'za', 'gue', 'an', 'te']",zi·gue·za·gue·an·te,adjetivo,"['zi', 'ge', 'za', 'gi', 'ˈɐ̃', 'tʃɪ']",zi.ge.za.gi.ˈɐ̃.tʃɪ,2,penultima,gi,ˈɐ̃,tʃɪ
ziguezaguear,"['zi', 'gue', 'za', 'gue', 'ar']",zi·gue·za·gue·ar,verbo,"['zi', 'ge', 'za', 'gi', 'ˈa']",zi.ge.za.gi.ˈa,1,ultima,za,gi,ˈa
zigurate,"['zi', 'gu', 'ra', 'te']",zi·gu·ra·te,nome masculino,"['zi', 'gu', 'ɾˈa', 'tʃɪ']",zi.gu.ɾˈa.tʃɪ,2,penultima,gu,ɾˈa,tʃɪ
zimbabuano,"['zim', 'ba', 'bu', 'a', 'no']",zim·ba·bu·a·no,adjetivo,"['zĩ', 'ba', 'bu', 'ˈɐ̃', 'nʊ']",zĩ.ba.bu.ˈɐ̃.nʊ,2,penultima,bu,ˈɐ̃,nʊ
zimbabuano,"['zim', 'ba', 'bu', 'a', 'no']",zim·ba·bu·a·no,nome masculino,"['zĩ', 'ba', 'bu', 'ˈɐ̃', 'nʊ']",zĩ.ba.bu.ˈɐ̃.nʊ,2,penultima,bu,ˈɐ̃,nʊ
zimbo,"['zim', 'bo']",zim·bo,nome masculino,"['zˈĩ', 'bʊ']",zˈĩ.bʊ,2,penultima,,zˈĩ,bʊ
zimbório,"['zim', 'bó', 'ri', 'o']",zim·bó·ri·o,nome masculino,"['zĩ', 'bˈɔ', 'ɾjʊ']",zĩ.bˈɔ.ɾjʊ,3,antepenultima,zĩ,bˈɔ,ɾjʊ
zimbral,"['zim', 'bral']",zim·bral,nome masculino,"['zĩ', 'bɾˈaw']",zĩ.bɾˈaw,1,ultima,,zĩ,bɾˈaw
zimbrar,"['zim', 'brar']",zim·brar,verbo,"['zĩ', 'bɾˈa']",zĩ.bɾˈa,1,ultima,,zĩ,bɾˈa
zimbro,"['zim', 'bro']",zim·bro,nome masculino,"['zˈĩ', 'bɾʊ']",zˈĩ.bɾʊ,2,penultima,,zˈĩ,bɾʊ
zina,"['zi', 'na']",zi·na,nome feminino,"['zˈĩ', 'nɐ']",zˈĩ.nɐ,2,penultima,,zˈĩ,nɐ
zincar,"['zin', 'car']",zin·car,verbo,"['zĩ', 'kˈa']",zĩ.kˈa,1,ultima,,zĩ,kˈa
zinco,"['zin', 'co']",zin·co,nome masculino,"['zˈĩ', 'kʊ']",zˈĩ.kʊ,2,penultima,,zˈĩ,kʊ
zincogravura,"['zin', 'co', 'gra', 'vu', 'ra']",zin·co·gra·vu·ra,nome feminino,"['zĩ', 'ko', 'gɾa', 'vˈu', 'ɾɐ']",zĩ.ko.gɾa.vˈu.ɾɐ,2,penultima,gɾa,vˈu,ɾɐ
zinga,"['zin', 'ga']",zin·ga,nome feminino,"['zˈĩ', 'gɐ']",zˈĩ.gɐ,2,penultima,,zˈĩ,gɐ
zingar,"['zin', 'gar']",zin·gar,verbo,"['zĩ', 'gˈa']",zĩ.gˈa,1,ultima,,zĩ,gˈa
zíngaro,"['zín', 'ga', 'ro']",zín·ga·ro,adjetivo,"['zˈĩ', 'ga', 'ɾʊ']",zˈĩ.ga.ɾʊ,3,antepenultima,zˈĩ,ga,ɾʊ
zíngaro,"['zín', 'ga', 'ro']",zín·ga·ro,nome masculino,"['zˈĩ', 'ga', 'ɾʊ']",zˈĩ.ga.ɾʊ,3,antepenultima,zˈĩ,ga,ɾʊ
zinho,"['zi', 'nho']",zi·nho,nome masculino,"['zˈĩ', 'ɲʊ']",zˈĩ.ɲʊ,2,penultima,,zˈĩ,ɲʊ
