palavra,divisao_list,divisao,categoria,fonetica_list,fonetica,tonica_num,tonica,antepenultima,penultima,ultima
campônio,"['cam', 'pô', 'ni', 'o']",cam·pô·ni·o,adjetivo,"['kɐ̃', 'pˈõ', 'njʊ']",kɐ̃.pˈõ.njʊ,3,antepenultima,kɐ̃,pˈõ,njʊ
campónio,"['cam', 'pó', 'ni', 'o']",cam·pó·ni·o,adjetivo,"['kɐ̃', 'pˈɔ̃', 'njʊ']",kɐ̃.pˈɔ̃.njʊ,3,antepenultima,kɐ̃,pˈɔ̃,njʊ
campónio,"['cam', 'pó', 'ni', 'o']",cam·pó·ni·o,nome masculino,"['kɐ̃', 'pˈɔ̃', 'njʊ']",kɐ̃.pˈɔ̃.njʊ,3,antepenultima,kɐ̃,pˈɔ̃,njʊ
camposo,"['cam', 'po', 'so']",cam·po·so,adjetivo,"['kɐ̃', 'pˈo', 'zʊ']",kɐ̃.pˈo.zʊ,2,penultima,kɐ̃,pˈo,zʊ
campus,"['cam', 'pus']",cam·pus,nome masculino,"['kɐ̃', 'pˈuʃ']",kɐ̃.pˈuʃ,1,ultima,,kɐ̃,pˈuʃ
camuflado,"['ca', 'mu', 'fla', 'do']",ca·mu·fla·do,adjetivo,"['kã', 'mu', 'flˈa', 'dʊ']",kã.mu.flˈa.dʊ,2,penultima,mu,flˈa,dʊ
camuflado,"['ca', 'mu', 'fla', 'do']",ca·mu·fla·do,nome masculino,"['kã', 'mu', 'flˈa', 'dʊ']",kã.mu.flˈa.dʊ,2,penultima,mu,flˈa,dʊ
camuflagem,"['ca', 'mu', 'fla', 'gem']",ca·mu·fla·gem,nome feminino,"['kã', 'mu', 'flˈa', 'ʒẽj']",kã.mu.flˈa.ʒẽj,2,penultima,mu,flˈa,ʒẽj
camuflar,"['ca', 'mu', 'flar']",ca·mu·flar,verbo,"['kã', 'mu', 'flˈa']",kã.mu.flˈa,1,ultima,kã,mu,flˈa
camurça,"['ca', 'mur', 'ça']",ca·mur·ça,nome feminino,"['kã', 'mˈuh', 'sɐ']",kã.mˈuh.sɐ,2,penultima,kã,mˈuh,sɐ
camurçar,"['ca', 'mur', 'çar']",ca·mur·çar,verbo,"['kã', 'muh', 'sˈa']",kã.muh.sˈa,1,ultima,kã,muh,sˈa
camurcina,"['ca', 'mur', 'ci', 'na']",ca·mur·ci·na,nome feminino,"['kã', 'muh', 'sˈĩ', 'nɐ']",kã.muh.sˈĩ.nɐ,2,penultima,muh,sˈĩ,nɐ
cana,"['ca', 'na']",ca·na,nome feminino,"['kˈɐ̃', 'nɐ']",kˈɐ̃.nɐ,2,penultima,,kˈɐ̃,nɐ
cana-de-açúcar,"['ca', 'na', 'de', 'a', 'çú', 'car']",ca·na-de-a·çú·car,nome feminino,"['kˌɐ̃', 'nɐ', 'dʒi', 'a', 'sˈu', 'ka']",kˌɐ̃.nɐ.dʒi.a.sˈu.ka,2,penultima,a,sˈu,ka
