palavra,divisao,categoria,fonetica,tonic
urgência,"['ur', 'gên', 'ci', 'a']",nome feminino,"['uɦ', 'ʒˈẽ', 'sjɐ']",3
urgente,"['ur', 'gen', 'te']",adjetivo,"['uɦ', 'ʒˈẽ', 'tʃɪ']",2
urgentemente,"['ur', 'gen', 'te', 'men', 'te']",advérbio,"['uɦ', 'ʒẽ', 'tẽ', 'mˈẽ', 'tʃɪ']",2
urgir,"['ur', 'gir']",verbo,"['uɦ', 'ʒˈi']",1
uri,"['u', 'ri']",nome masculino,"['u', 'ɾˈi']",1
úrico,"['ú', 'ri', 'co']",adjetivo,"['ˈu', 'ɾi', 'kʊ']",3
urina,"['u', 'ri', 'na']",nome feminino,"['u', 'ɾˈĩ', 'nɐ']",2
urinar,"['u', 'ri', 'nar']",verbo,"['u', 'ɾĩ', 'nˈa']",1
urinário,"['u', 'ri', 'ná', 'ri', 'o']",adjetivo,"['u', 'ɾĩ', 'nˈa', 'ɾjʊ']",3
urinol,"['u', 'ri', 'nol']",nome masculino,"['u', 'ɾĩ', 'nˈɔw']",1
urna,"['ur', 'na']",nome feminino,"['ˈuɦ', 'nɐ']",2
uro,"['u', 'ro']",nome masculino,"['ˈu', 'ɾʊ']",2
urografia,"['u', 'ro', 'gra', 'fi', 'a']",nome feminino,"['u', 'ɾo', 'gɾa', 'fˈi', 'ɐ']",2
urologia,"['u', 'ro', 'lo', 'gi', 'a']",nome feminino,"['u', 'ɾo', 'lo', 'ʒˈi', 'ɐ']",2
urológico,"['u', 'ro', 'ló', 'gi', 'co']",adjetivo,"['u', 'ɾo', 'lˈɔ', 'ʒi', 'kʊ']",3
urologista,"['u', 'ro', 'lo', 'gis', 'ta']",nome masculino,"['u', 'ɾo', 'lo', 'ʒˈiʃ', 'tɐ']",2
urologista,"['u', 'ro', 'lo', 'gis', 'ta']",nome feminino,"['u', 'ɾo', 'lo', 'ʒˈiʃ', 'tɐ']",2
urraca,"['ur', 'ra', 'ca']",nome feminino,"['u', 'ɦˈa', 'kɐ']",2
urrar,"['ur', 'rar']",verbo,"['u', 'ɦˈa']",1
urro,"['ur', 'ro']",nome masculino,"['ˈu', 'ɦʊ']",2
urso,"['ur', 'so']",nome masculino,"['ˈuh', 'sʊ']",2
urso,"['ur', 'so']",adjetivo,"['ˈuh', 'sʊ']",2
ursulina,"['ur', 'su', 'li', 'na']",nome feminino,"['uh', 'su', 'lˈĩ', 'nɐ']",2
