palavra,divisao,categoria,fonetica,tonic
jerónimo,"['je', 'ró', 'ni', 'mo']",adjetivo,"['ʒe', 'ɾˈɔ̃', 'nĩ', 'mʊ']",3
jerónimo,"['je', 'ró', 'ni', 'mo']",nome masculino,"['ʒe', 'ɾˈɔ̃', 'nĩ', 'mʊ']",3
jeropiga,"['je', 'ro', 'pi', 'ga']",nome feminino,"['ʒe', 'ɾo', 'pˈi', 'gɐ']",2
jesuíta,"['je', 'su', 'í', 'ta']",adjetivo,"['ʒe', 'zu', 'ˈi', 'tɐ']",2
jesuíta,"['je', 'su', 'í', 'ta']",nome masculino,"['ʒe', 'zu', 'ˈi', 'tɐ']",2
jesuiticamente,"['je', 'sui', 'ti', 'ca', 'men', 'te']",advérbio,"['ʒe', 'zuj', 'tʃi', 'kã', 'mˈẽ', 'tʃɪ']",2
jesuítico,"['je', 'su', 'í', 'ti', 'co']",adjetivo,"['ʒe', 'zu', 'ˈi', 'tʃi', 'kʊ']",3
jesus,"['je', 'sus']",interjeição,"['ʒe', 'zˈuʃ']",1
jet-set,"['jet', 'set']",nome masculino,[''],1
ji,['ji'],nome masculino,['ʒˈi'],1
jiboia,"['ji', 'boi', 'a']",nome feminino,"['ʒi', 'bˈɔj', 'ɐ']",2
jiga,"['ji', 'ga']",nome feminino,"['ʒˈi', 'gɐ']",2
jigajoga,"['ji', 'ga', 'jo', 'ga']",nome feminino,"['ʒi', 'ga', 'ʒˈɔ', 'gɐ']",2
jihad,"['ji', 'had']",nome feminino,[''],1
jimbo,"['jim', 'bo']",nome masculino,"['ʒˈĩ', 'bʊ']",2
jinga,"['jin', 'ga']",adjetivo,"['ʒˈĩ', 'gɐ']",2
jinga,"['jin', 'ga']",nome masculino,"['ʒˈĩ', 'gɐ']",2
jinga,"['jin', 'ga']",nome feminino,"['ʒˈĩ', 'gɐ']",2
jipe,"['ji', 'pe']",nome masculino,"['ʒˈi', 'pɪ']",2
jiu-jitsu,"['jiu', 'jit', 'su']",nome masculino,[''],1
joalharia,"['jo', 'a', 'lha', 'ri', 'a']",nome feminino,"['ʒo', 'a', 'ʎa', 'ɾˈi', 'ɐ']",2
joalheira,"['jo', 'a', 'lhei', 'ra']",nome feminino,"['ʒo', 'a', 'ʎˈej', 'ɾɐ']",2
joalheiro,"['jo', 'a', 'lhei', 'ro']",nome masculino,"['ʒo', 'a', 'ʎˈej', 'ɾʊ']",2
joalheiro,"['jo', 'a', 'lhei', 'ro']",adjetivo,"['ʒo', 'a', 'ʎˈej', 'ɾʊ']",2
joanete,"['jo', 'a', 'ne', 'te']",nome masculino,"['ʒo', 'ã', 'nˈe', 'tʃɪ']",2
joanico,"['jo', 'a', 'ni', 'co']",nome masculino,"['ʒo', 'ã', 'nˈi', 'kʊ']",2
joaninha,"['jo', 'a', 'ni', 'nha']",nome feminino,"['ʒo', 'ã', 'nˈĩ', 'ɲɐ']",2
joanino,"['jo', 'a', 'ni', 'no']",adjetivo,"['ʒo', 'ã', 'nˈĩ', 'nʊ']",2
job,['job'],nome masculino,[''],1
jobar,"['jo', 'bar']",verbo,"['ʒo', 'bˈa']",1
jocosamente,"['jo', 'co', 'sa', 'men', 'te']",advérbio,"['ʒo', 'kɔ', 'zã', 'mˈẽ', 'tʃɪ']",2
jocosidade,"['jo', 'co', 'si', 'da', 'de']",nome feminino,"['ʒo', 'ko', 'zi', 'dˈa', 'dʒɪ']",2
jocoso,"['jo', 'co', 'so']",adjetivo,"['ʒo', 'kˈo', 'zʊ']",2
joeirar,"['jo', 'ei', 'rar']",verbo,"['ʒo', 'ej', 'ɾˈa']",1
joelhada,"['jo', 'e', 'lha', 'da']",nome feminino,"['ʒo', 'e', 'ʎˈa', 'dɐ']",2
joelhar,"['jo', 'e', 'lhar']",verbo,"['ʒo', 'e', 'ʎˈa']",1
joelheira,"['jo', 'e', 'lhei', 'ra']",nome feminino,"['ʒo', 'e', 'ʎˈej', 'ɾɐ']",2
joelheiro,"['jo', 'e', 'lhei', 'ro']",adjetivo,"['ʒo', 'e', 'ʎˈej', 'ɾʊ']",2
joelho,"['jo', 'e', 'lho']",nome masculino,"['ʒo', 'ˈe', 'ʎʊ']",2
joga,"['jo', 'ga']",nome feminino,"['ʒˈɔ', 'gɐ']",2
jogada,"['jo', 'ga', 'da']",nome feminino,"['ʒo', 'gˈa', 'dɐ']",2
jogado,"['jo', 'ga', 'do']",adjetivo,"['ʒo', 'gˈa', 'dʊ']",2
jogador,"['jo', 'ga', 'dor']",adjetivo,"['ʒo', 'ga', 'dˈo']",1
jogador,"['jo', 'ga', 'dor']",nome masculino,"['ʒo', 'ga', 'dˈo']",1
jogadora,"['jo', 'ga', 'do', 'ra']",nome feminino,"['ʒo', 'ga', 'dˈo', 'ɾɐ']",2
jogão,"['jo', 'gão']",nome masculino,"['ʒo', 'gˈɐ̃w']",1
jogar,"['jo', 'gar']",verbo,"['ʒo', 'gˈa']",1
jogatina,"['jo', 'ga', 'ti', 'na']",nome feminino,"['ʒo', 'ga', 'tʃˈĩ', 'nɐ']",2
jogável,"['jo', 'gá', 'vel']",adjetivo,"['ʒo', 'gˈa', 'vew']",2
jogging,"['jog', 'ging']",nome masculino,[''],2
jogo,"['jo', 'go']",nome masculino,"['ʒˈo', 'gʊ']",2
jogó,"['jo', 'gó']",nome masculino,"['ʒo', 'gˈɔ']",1
jogral,"['jo', 'gral']",nome masculino,"['ʒo', 'gɾˈaw']",1
jogralesca,"['jo', 'gra', 'les', 'ca']",nome feminino,"['ʒo', 'gɾa', 'lˈeʃ', 'kɐ']",2
jogralesco,"['jo', 'gra', 'les', 'co']",adjetivo,"['ʒo', 'gɾa', 'lˈeʃ', 'kʊ']",2
jogue,"['jo', 'gue']",adjetivo,"['ʒˈɔ', 'gɪ']",2
jogue,"['jo', 'gue']",nome masculino,"['ʒˈɔ', 'gɪ ou ʒˈɔ', 'gɪ']",2
joguetar,"['jo', 'gue', 'tar']",verbo,"['ʒo', 'ge', 'tˈa']",1
joguete,"['jo', 'gue', 'te']",nome masculino,"['ʒo', 'gˈe', 'tʃɪ']",2
joia,"['joi', 'a']",nome feminino,"['ʒˈɔj', 'ɐ']",2
joint-venture,"['joint', 'ven', 'tu', 're']",nome feminino,[''],2
joio,"['joi', 'o']",nome masculino,"['ʒˈoj', 'ʊ']",2
jojoba,"['jo', 'jo', 'ba']",nome feminino,"['ʒɔ', 'ʒˈɔ', 'bɐ']",2
joker,"['jo', 'ker']",nome masculino,[''],2
jolar,"['jo', 'lar']",verbo,"['ʒo', 'lˈa']",1
jónica,"['jó', 'ni', 'ca']",nome feminino,"['ʒˈɔ̃', 'ni', 'kɐ']",3
jonicamente,"['jo', 'ni', 'ca', 'men', 'te']",advérbio,"['ʒɔ̃', 'ni', 'kã', 'mˈẽ', 'tʃɪ']",2
jónico,"['jó', 'ni', 'co']",nome masculino,"['ʒˈɔ̃', 'ni', 'kʊ']",3
jónico,"['jó', 'ni', 'co']",adjetivo,"['ʒˈɔ̃', 'ni', 'kʊ']",3
jónio,"['jó', 'ni', 'o']",nome masculino,"['ʒˈɔ̃', 'njʊ']",3
jónio,"['jó', 'ni', 'o']",adjetivo,"['ʒˈɔ̃', 'njʊ']",3
jóquei,"['jó', 'quei']",nome masculino,"['ʒˈɔ', 'kej']",2
jordana,"['jor', 'da', 'na']",nome feminino,"['ʒoɦ', 'dˈɐ̃', 'nɐ']",2
jordano,"['jor', 'da', 'no']",adjetivo,"['ʒoɦ', 'dˈɐ̃', 'nʊ']",2
jordano,"['jor', 'da', 'no']",nome masculino,"['ʒoɦ', 'dˈɐ̃', 'nʊ']",2
jorna,"['jor', 'na']",nome feminino,"['ʒˈɔɦ', 'nɐ']",2
jornada,"['jor', 'na', 'da']",nome feminino,"['ʒoɦ', 'nˈa', 'dɐ']",2
jornal,"['jor', 'nal']",nome masculino,"['ʒoɦ', 'nˈaw']",1
jornaleco,"['jor', 'na', 'le', 'co']",nome masculino,"['ʒoɦ', 'na', 'lˈɛ', 'kʊ']",2
jornaleiro,"['jor', 'na', 'lei', 'ro']",adjetivo,"['ʒoɦ', 'na', 'lˈej', 'ɾʊ']",2
jornaleiro,"['jor', 'na', 'lei', 'ro']",nome masculino,"['ʒoɦ', 'na', 'lˈej', 'ɾʊ']",2
jornalismo,"['jor', 'na', 'lis', 'mo']",nome masculino,"['ʒoɦ', 'na', 'lˈiʒ', 'mʊ']",2
jornalista,"['jor', 'na', 'lis', 'ta']",nome masculino,"['ʒoɦ', 'na', 'lˈiʃ', 'tɐ']",2
jornalista,"['jor', 'na', 'lis', 'ta']",nome feminino,"['ʒoɦ', 'na', 'lˈiʃ', 'tɐ']",2
jornalisticamente,"['jor', 'na', 'lis', 'ti', 'ca', 'men', 'te']",advérbio,"['ʒoɦ', 'na', 'liʃ', 'tʃi', 'kã', 'mˈẽ', 'tʃɪ']",2
jornalístico,"['jor', 'na', 'lís', 'ti', 'co']",adjetivo,"['ʒoɦ', 'na', 'lˈiʃ', 'tʃi', 'kʊ']",3
jorra,"['jor', 'ra']",nome feminino,"['ʒˈɔ', 'ɦɐ']",2
jorrar,"['jor', 'rar']",verbo,"['ʒo', 'ɦˈa']",1
jorro,"['jor', 'ro']",nome masculino,"['ʒˈo', 'ɦʊ']",2
josefino,"['jo', 'se', 'fi', 'no']",nome masculino,"['ʒo', 'ze', 'fˈĩ', 'nʊ']",2
josefino,"['jo', 'se', 'fi', 'no']",adjetivo,"['ʒo', 'ze', 'fˈĩ', 'nʊ']",2
jota,"['jo', 'ta']",nome masculino,"['ʒˈɔ', 'tɐ']",2
jota,"['jo', 'ta']",nome feminino,"['ʒˈɔ', 'tɐ']",2
joule,"['jou', 'le']",nome masculino,[''],2
jovem,"['jo', 'vem']",nome masculino,"['ʒˈɔ', 'vẽj']",2
jovem,"['jo', 'vem']",adjetivo,"['ʒˈɔ', 'vẽj']",2
jovem,"['jo', 'vem']",nome feminino,"['ʒˈɔ', 'vẽj']",2
jovial,"['jo', 'vi', 'al']",adjetivo,"['ʒo', 'vi', 'ˈaw']",1
