palavra,divisao,categoria,fonetica,tonic
galináceo,"['ga', 'li', 'ná', 'ce', 'o']",adjetivo,"['ga', 'lĩ', 'nˈa', 'sjʊ']",3
galinha,"['ga', 'li', 'nha']",nome feminino,"['ga', 'lˈĩ', 'ɲɐ']",2
galinha-da-índia,"['ga', 'li', 'nha', 'da', 'ín', 'di', 'a']",nome feminino,"['ga', 'lˌĩ', 'ɲɐ', 'dɐ', 'ˈĩ', 'dʒjɐ']",3
galinha-sultana,"['ga', 'li', 'nha', 'sul', 'ta', 'na']",nome feminino,"['ga', 'lˌĩ', 'ɲɐ', 'suw', 'tˈɐ̃', 'nɐ']",2
galinheira,"['ga', 'li', 'nhei', 'ra']",nome feminino,"['ga', 'lĩ', 'ɲˈej', 'ɾɐ']",2
galinheiro,"['ga', 'li', 'nhei', 'ro']",nome masculino,"['ga', 'lĩ', 'ɲˈej', 'ɾʊ']",2
galinhola,"['ga', 'li', 'nho', 'la']",nome feminino,"['ga', 'lĩ', 'ɲˈɔ', 'lɐ']",2
gálio,"['gá', 'li', 'o']",nome masculino,"['gˈa', 'ljʊ']",3
gálio,"['gá', 'li', 'o']",adjetivo,"['gˈa', 'ljʊ']",3
galo,"['ga', 'lo']",adjetivo,"['gˈa', 'lʊ']",2
galo,"['ga', 'lo']",nome masculino,"['gˈa', 'lʊ']",2
galo-romano,"['ga', 'lo', 'ro', 'ma', 'no']",adjetivo,"['gˌa', 'lo', 'ɦõ', 'mˈɐ̃', 'nʊ']",2
galo-romano,"['ga', 'lo', 'ro', 'ma', 'no']",nome masculino,"['gˌa', 'lo', 'ɦõ', 'mˈɐ̃', 'nʊ']",2
galocha,"['ga', 'lo', 'cha']",nome feminino,"['ga', 'lˈɔ', 'ʃɐ']",2
galopada,"['ga', 'lo', 'pa', 'da']",nome feminino,"['ga', 'lo', 'pˈa', 'dɐ']",2
galopado,"['ga', 'lo', 'pa', 'do']",adjetivo,"['ga', 'lo', 'pˈa', 'dʊ']",2
galopante,"['ga', 'lo', 'pan', 'te']",adjetivo,"['ga', 'lo', 'pˈɐ̃', 'tʃɪ']",2
galopante,"['ga', 'lo', 'pan', 'te']",nome feminino,"['ga', 'lo', 'pˈɐ̃', 'tʃɪ']",2
galopar,"['ga', 'lo', 'par']",verbo,"['ga', 'lo', 'pˈa']",1
galope,"['ga', 'lo', 'pe']",nome masculino,"['ga', 'lˈɔ', 'pɪ']",2
galopim,"['ga', 'lo', 'pim']",nome masculino,"['ga', 'lo', 'pˈĩ']",1
galpão,"['gal', 'pão']",nome masculino,"['gaw', 'pˈɐ̃w']",1
galrão,"['gal', 'rão']",adjetivo,"['gaw', 'ɦˈɐ̃w']",1
galrão,"['gal', 'rão']",nome masculino,"['gaw', 'ɦˈɐ̃w']",1
galricho,"['gal', 'ri', 'cho']",nome masculino,"['gaw', 'ɦˈi', 'ʃʊ']",2
galrito,"['gal', 'ri', 'to']",nome masculino,"['gaw', 'ɦˈi', 'tʊ']",2
galucho,"['ga', 'lu', 'cho']",nome masculino,"['ga', 'lˈu', 'ʃʊ']",2
galvanização,"['gal', 'va', 'ni', 'za', 'ção']",nome feminino,"['gaw', 'vã', 'ni', 'za', 'sˈɐ̃w']",1
