palavra,divisao,categoria,fonetica,tonic
mentalizar,"['men', 'ta', 'li', 'zar']",verbo,"['mẽ', 'ta', 'li', 'zˈa']",1
mentalmente,"['men', 'tal', 'men', 'te']",advérbio,"['mẽ', 'taw', 'mˈẽ', 'tʃɪ']",2
mentar,"['men', 'tar']",verbo,"['mẽ', 'tˈa']",1
mente,"['men', 'te']",nome feminino,"['mˈẽ', 'tʃɪ']",2
mentecapta,"['men', 'te', 'cap', 'ta']",nome feminino,"['mẽ', 'te', 'kˈa', 'pə', 'tɐ']",2
mentecapto,"['men', 'te', 'cap', 'to']",adjetivo,"['mẽ', 'te', 'kˈa', 'pə', 'tʊ']",2
mentecapto,"['men', 'te', 'cap', 'to']",nome masculino,"['mẽ', 'te', 'kˈa', 'pə', 'tʊ']",2
mentes,"['men', 'tes']",advérbio,"['mˈẽ', 'tʃɪʃ']",2
mentes,"['men', 'tes']",conjunção,"['mˈẽ', 'tʃɪʃ']",2
mentido,"['men', 'ti', 'do']",adjetivo,"['mẽ', 'tʃˈi', 'dʊ']",2
mentir,"['men', 'tir']",verbo,"['mẽ', 'tʃˈi']",1
mentira,"['men', 'ti', 'ra']",nome feminino,"['mẽ', 'tʃˈi', 'ɾɐ']",2
mentirola,"['men', 'ti', 'ro', 'la']",nome masculino,"['mẽ', 'tʃi', 'ɾˈɔ', 'lɐ ou mẽ', 'tʃi', 'ɾˈɔ', 'lɐ']",2
mentirosa,"['men', 'ti', 'ro', 'sa']",nome feminino,"['mẽ', 'tʃi', 'ɾˈɔ', 'zɐ']",2
mentirosamente,"['men', 'ti', 'ro', 'sa', 'men', 'te']",advérbio,"['mẽ', 'tʃi', 'ɾɔ', 'zã', 'mˈẽ', 'tʃɪ']",2
mentiroso,"['men', 'ti', 'ro', 'so']",adjetivo,"['mẽ', 'tʃi', 'ɾˈo', 'zʊ']",2
mentiroso,"['men', 'ti', 'ro', 'so']",nome masculino,"['mẽ', 'tʃi', 'ɾˈo', 'zʊ']",2
mento,"['men', 'to']",nome masculino,"['mˈẽ', 'tʊ']",2
mentol,"['men', 'tol']",nome masculino,"['mẽ', 'tˈɔw']",1
mentolado,"['men', 'to', 'la', 'do']",adjetivo,"['mẽ', 'to', 'lˈa', 'dʊ']",2
mentor,"['men', 'tor']",nome masculino,"['mẽ', 'tˈo']",1
menu,"['me', 'nu']",nome masculino,"['mẽ', 'nˈu']",1
mera,"['me', 'ra']",nome feminino,"['mˈɛ', 'ɾɐ']",2
meramente,"['me', 'ra', 'men', 'te']",advérbio,"['mɛ', 'ɾã', 'mˈẽ', 'tʃɪ']",2
merca,"['mer', 'ca']",nome feminino,"['mˈɛh', 'kɐ']",2
mercadejar,"['mer', 'ca', 'de', 'jar']",verbo,"['meh', 'ka', 'de', 'ʒˈa']",1
mercado,"['mer', 'ca', 'do']",nome masculino,"['meh', 'kˈa', 'dʊ']",2
mercado-alvo,"['mer', 'ca', 'do', 'al', 'vo']",nome masculino,"['meh', 'kˌa', 'dʊ', 'ˈaw', 'vʊ']",2
mercador,"['mer', 'ca', 'dor']",nome masculino,"['meh', 'ka', 'dˈo']",1
mercadoria,"['mer', 'ca', 'do', 'ri', 'a']",nome feminino,"['meh', 'ka', 'do', 'ɾˈi', 'ɐ']",2
mercancia,"['mer', 'can', 'ci', 'a']",nome feminino,"['meh', 'kɐ̃', 'sˈi', 'ɐ']",2
mercanciar,"['mer', 'can', 'ci', 'ar']",verbo,"['meh', 'kɐ̃', 'si', 'ˈa']",1
mercante,"['mer', 'can', 'te']",nome masculino,"['meh', 'kˈɐ̃', 'tʃɪ']",2
mercante,"['mer', 'can', 'te']",adjetivo,"['meh', 'kˈɐ̃', 'tʃɪ']",2
mercante,"['mer', 'can', 'te']",nome feminino,"['meh', 'kˈɐ̃', 'tʃɪ']",2
mercantil,"['mer', 'can', 'til']",adjetivo,"['meh', 'kɐ̃', 'tʃˈiw']",1
mercantilismo,"['mer', 'can', 'ti', 'lis', 'mo']",nome masculino,"['meh', 'kɐ̃', 'tʃi', 'lˈiʒ', 'mʊ']",2
mercantilista,"['mer', 'can', 'ti', 'lis', 'ta']",nome masculino,"['meh', 'kɐ̃', 'tʃi', 'lˈiʃ', 'tɐ']",2
