palavra,categoria,divisao_silabica,tonica_silabica_num,divisao_fonetica,tonica_fonetica_num
retrocessão,nome feminino,"['re', 'tro', 'ces', 'são']",-1,"['ɦe', 'tɾo', 'se', 'sˈɐ̃w']",-1
retrocesso,nome masculino,"['re', 'tro', 'ces', 'so']",-2,"['ɦe', 'tɾo', 'sˈɛ', 'sʊ']",-2
retroescavadora,nome feminino,"['re', 'tro', 'es', 'ca', 'va', 'do', 'ra']",-2,"['ɦe', 'tɾo', 'iʃ', 'ka', 'va', 'dˈo', 'ɾɐ']",-2
retrógrada,nome feminino,"['re', 'tró', 'gra', 'da']",-3,"['ɦe', 'tɾˈɔ', 'gɾa', 'dɐ']",-3
retrogradação,nome feminino,"['re', 'tro', 'gra', 'da', 'ção']",-1,"['ɦe', 'tɾo', 'gɾa', 'da', 'sˈɐ̃w']",-1
retrogradamente,advérbio,"['re', 'tro', 'gra', 'da', 'men', 'te']",-2,"['ɦe', 'tɾɔ', 'gɾa', 'dã', 'mˈẽ', 'tʃɪ']",-2
retrógrado,nome masculino,"['re', 'tró', 'gra', 'do']",-3,"['ɦe', 'tɾˈɔ', 'gɾa', 'dʊ']",-3
retrógrado,adjetivo,"['re', 'tró', 'gra', 'do']",-3,"['ɦe', 'tɾˈɔ', 'gɾa', 'dʊ']",-3
retroprojetor,nome masculino,"['re', 'tro', 'pro', 'je', 'tor']",-1,"['ɦe', 'tɾo', 'pɾo', 'ʒe', 'tˈo']",-1
retrosaria,nome feminino,"['re', 'tro', 'sa', 'ri', 'a']",-2,"['ɦe', 'tɾo', 'za', 'ɾˈi', 'ɐ']",-2
retrospetiva,nome feminino,"['re', 'tros', 'pe', 'ti', 'va']",-2,"['ɦe', 'tɾoʃ', 'pɛ', 'tʃˈi', 'vɐ']",-2
retrospetivamente,advérbio,"['re', 'tros', 'pe', 'ti', 'va', 'men', 'te']",-2,"['ɦe', 'tɾoʃ', 'pɛ', 'tʃi', 'vã', 'mˈẽ', 'tʃɪ']",-2
retrospetivo,adjetivo,"['re', 'tros', 'pe', 'ti', 'vo']",-2,"['ɦe', 'tɾoʃ', 'pɛ', 'tʃˈi', 'vʊ']",-2
retroversão,nome feminino,"['re', 'tro', 'ver', 'são']",-1,"['ɦɛ', 'tɾɔ', 'veh', 'sˈɐ̃w']",-1
retroverter,verbo,"['re', 'tro', 'ver', 'ter']",-1,"['ɦe', 'tɾo', 'veh', 'tˈe']",-1
