palavra,divisao,categoria,fonetica,tonic
trinta,"['trin', 'ta']",nome masculino,"['tɾˈĩ', 'tɐ']",2
trintanário,"['trin', 'ta', 'ná', 'ri', 'o']",nome masculino,"['tɾĩ', 'tã', 'nˈa', 'ɾjʊ']",3
trintão,"['trin', 'tão']",nome masculino,"['tɾĩ', 'tˈɐ̃w']",1
trintão,"['trin', 'tão']",adjetivo,"['tɾĩ', 'tˈɐ̃w']",1
trintar,"['trin', 'tar']",verbo,"['tɾĩ', 'tˈa']",1
trintário,"['trin', 'tá', 'ri', 'o']",nome masculino,"['tɾĩ', 'tˈa', 'ɾjʊ']",3
trintena,"['trin', 'te', 'na']",nome feminino,"['tɾĩ', 'tˈẽ', 'nɐ']",2
trintona,"['trin', 'to', 'na']",nome feminino,"['tɾĩ', 'tˈõ', 'nɐ']",2
trio,"['tri', 'o']",nome masculino,"['tɾˈi', 'ʊ']",2
trióbolo,"['tri', 'ó', 'bo', 'lo']",nome masculino,"['tɾi', 'ˈɔ', 'bo', 'lʊ']",3
trioctaedro,"['tri', 'oc', 'ta', 'e', 'dro']",nome masculino,"['tɾi', 'ɔ', 'kə', 'ta', 'ˈɛ', 'dɾʊ']",2
triódio,"['tri', 'ó', 'di', 'o']",nome masculino,"['tɾi', 'ˈɔ', 'dʒjʊ']",3
tríodo,"['trí', 'o', 'do']",nome masculino,"['tɾˈi', 'o', 'dʊ']",3
triolé,"['tri', 'o', 'lé']",nome masculino,"['tɾi', 'o', 'lˈɛ']",3
trióxido,"['tri', 'ó', 'xi', 'do']",nome masculino,"['tɾi', 'ˈɔk', 'si', 'dʊ']",3
trip,['trip'],nome feminino,"['tɾi', 'pˈi']",1
trip-hop,"['trip', 'hop']",nome feminino,[''],1
tripa,"['tri', 'pa']",nome feminino,"['tɾˈi', 'pɐ']",2
tripa-forra,"['tri', 'pa', 'for', 'ra']",nome feminino,"['tɾˌi', 'pɐ', 'fˈɔ', 'ɦa']",2
tripango,"['tri', 'pan', 'go']",nome masculino,"['tɾi', 'pˈɐ̃', 'gʊ']",2
tripanossomíase,"['tri', 'pa', 'nos', 'so', 'mí', 'a', 'se']",nome feminino,"['tɾi', 'pã', 'no', 'sõ', 'mˈi', 'a', 'zɪ']",3
tripar,"['tri', 'par']",verbo,"['tɾi', 'pˈa']",1
triparco,"['tri', 'par', 'co']",adjetivo,"['tɾi', 'pˈah', 'kʊ']",2
