palavra,divisao,categoria,fonetica,tonic
ortónimo,"['or', 'tó', 'ni', 'mo']",nome masculino,"['ɔh', 'tˈɔ̃', 'nĩ', 'mʊ']",3
ortopedia,"['or', 'to', 'pe', 'di', 'a']",nome feminino,"['oh', 'to', 'pe', 'dʒˈi', 'ɐ']",2
ortopédico,"['or', 'to', 'pé', 'di', 'co']",adjetivo,"['oh', 'to', 'pˈɛ', 'dʒi', 'kʊ']",3
ortopedista,"['or', 'to', 'pe', 'dis', 'ta']",adjetivo,"['oh', 'to', 'pe', 'dʒˈiʃ', 'tɐ']",2
ortopedista,"['or', 'to', 'pe', 'dis', 'ta']",nome masculino,"['oh', 'to', 'pe', 'dʒˈiʃ', 'tɐ']",2
ortopedista,"['or', 'to', 'pe', 'dis', 'ta']",nome feminino,"['oh', 'to', 'pe', 'dʒˈiʃ', 'tɐ']",2
ortóptero,"['or', 'tóp', 'te', 'ro']",nome masculino,"['ɔh', 'tˈɔ', 'pi', 'te', 'ɾʊ']",3
ortóptero,"['or', 'tóp', 'te', 'ro']",adjetivo,"['ɔh', 'tˈɔ', 'pi', 'te', 'ɾʊ']",3
ortóptica,"['or', 'tóp', 'ti', 'ca']",nome feminino,"['ɔh', 'tˈɔ', 'pi', 'tʃi', 'kɐ']",3
ortóptico,"['or', 'tóp', 'ti', 'co']",adjetivo,"['ɔh', 'tˈɔ', 'pi', 'tʃi', 'kʊ']",3
ortoptista,"['or', 'top', 'tis', 'ta']",nome masculino,"['ɔh', 'tɔ', 'pi', 'tʃˈiʃ', 'tɐ ou ɔh', 'tɔ', 'pi', 'tʃˈiʃ', 'tɐ']",2
ortótese,"['or', 'tó', 'te', 'se']",nome feminino,"['ɔh', 'tˈɔ', 'te', 'zɪ']",3
orvalhada,"['or', 'va', 'lha', 'da']",nome feminino,"['oɦ', 'va', 'ʎˈa', 'dɐ']",2
orvalhado,"['or', 'va', 'lha', 'do']",adjetivo,"['oɦ', 'va', 'ʎˈa', 'dʊ']",2
orvalhar,"['or', 'va', 'lhar']",verbo,"['oɦ', 'va', 'ʎˈa']",1
orvalho,"['or', 'va', 'lho']",nome masculino,"['oɦ', 'vˈa', 'ʎʊ']",2
orwelliano,"['or', 'wel', 'li', 'a', 'no']",adjetivo,"['oɾ', 'wɛe', 'li', 'ˈɐ̃', 'nʊ']",2
óscar,"['ós', 'car']",nome masculino,"['ˈɔʃ', 'ka']",2
oscilação,"['os', 'ci', 'la', 'ção']",nome feminino,"['o', 'si', 'la', 'sˈɐ̃w']",1
